t_s,rojo,verde,azul,claro
0.0000,36,45,15,89
0.0138,36,45,15,89
0.0311,35,46,17,88
0.0445,35,46,17,88
0.0636,36,46,17,88
0.0768,36,46,17,88
0.0956,36,46,17,88
0.1107,35,45,15,88
0.1248,35,45,15,88
0.1404,35,45,15,88
0.1541,36,45,15,89
0.1702,36,45,15,89
0.1846,36,45,15,89
0.1984,35,46,17,88
0.2155,35,46,17,88
0.2293,35,46,17,88
0.2439,29,53,24,97
0.2595,29,53,24,97
0.2740,29,53,24,97
0.2876,15,68,43,113
0.3038,15,68,43,113
0.3164,15,68,43,113
0.3321,16,69,43,114
0.3456,16,69,43,114
0.3599,16,69,43,114
0.3758,16,69,43,114
0.3906,16,69,43,114
0.4118,16,69,43,114
0.4324,16,69,43,113
0.4476,16,69,43,113
0.4645,16,69,42,113
0.4817,16,69,42,113
0.5000,16,69,42,113
0.5146,15,68,43,113
0.5291,15,68,43,113
0.5430,15,68,43,113
0.5678,15,68,43,113
0.5865,15,68,43,113
0.6013,16,68,42,114
0.6226,16,68,42,114
0.6415,15,68,43,113
0.6551,15,68,43,113
0.6731,15,68,43,113
0.6873,16,68,42,113
0.7040,16,68,42,113
0.7209,16,68,42,113
0.7350,16,69,43,114
0.7486,16,69,43,114
0.7647,16,69,43,114
0.7784,15,68,43,114
0.7944,15,68,43,114
0.8096,15,68,43,114
0.8246,15,68,43,113
0.8376,15,68,43,113
0.8537,15,68,43,113
0.8699,16,68,43,113
0.8845,16,68,43,113
0.8983,16,68,43,113
0.9134,15,68,42,113
0.9258,15,68,42,113
0.9448,15,68,42,113
0.9595,16,69,42,113
0.9748,16,69,42,113
0.9885,16,69,42,113
1.0045,15,68,43,113
1.0187,15,68,43,113
1.0336,15,68,43,113
1.0486,16,69,42,113
1.0645,16,69,42,113
1.0774,16,69,42,113
1.0937,15,68,43,113
1.1110,15,68,43,113
1.1260,16,68,42,113
1.1418,16,68,42,113
1.1555,16,68,42,113
1.1734,15,68,43,113
1.1872,15,68,43,113
1.2049,15,68,43,113
1.2195,16,69,42,113
1.2336,16,69,42,113
1.2482,16,69,42,113
1.2644,15,68,43,113
1.2781,15,68,43,113
1.2930,15,68,43,113
1.3067,15,68,42,113
1.3226,15,68,42,113
1.3357,15,68,42,113
1.3526,15,68,42,114
1.3695,15,68,42,114
1.3834,15,68,42,114
1.3985,15,68,43,113
1.4121,15,68,43,113
1.4313,15,68,43,113
1.4511,16,68,43,113
1.4696,16,68,43,113
1.4847,15,68,42,114
1.4998,15,68,42,114
1.5172,15,68,42,114
1.5294,15,68,43,113
1.5442,15,68,43,113
1.5680,16,68,42,113
1.5863,16,68,42,113
1.6035,16,68,42,113
1.6243,16,69,43,114
1.6451,16,69,43,114
1.6612,15,68,43,114
1.6772,15,68,43,114
1.6932,15,68,43,114
1.7069,15,68,43,114
1.7220,15,68,43,114
1.7367,15,68,43,114
1.7505,15,68,43,113
1.7646,15,68,43,113
1.7788,15,68,43,113
1.7951,16,69,43,113
1.8116,16,69,43,113
1.8252,16,69,43,113
1.8411,16,68,42,113
1.8553,16,68,42,113
1.8705,16,68,42,113
1.8863,15,68,42,113
1.9000,15,68,42,113
1.9144,15,68,42,113
1.9300,16,68,43,114
1.9446,16,68,43,114
1.9592,16,68,43,114
1.9747,16,69,43,114
1.9877,16,69,43,114
2.0048,16,69,43,114
2.0177,16,68,42,113
2.0363,16,68,42,113
2.0500,16,68,42,113
2.0647,16,69,43,114
2.0785,16,69,43,114
2.0945,16,69,43,114
2.1096,15,69,43,113
2.1242,15,69,43,113
2.1376,15,69,43,113
2.1532,16,68,42,114
2.1661,16,68,42,114
2.1860,16,68,42,114
2.1996,16,68,42,113
2.2138,16,68,42,113
2.2285,16,68,42,113
2.2441,19,63,41,112
2.2571,19,63,41,112
2.2737,19,63,41,112
