etiqueta,t_s,recorrido_cm,nodos,ocupado,libre,desconocido_pct,hash
cuarto_despejado,0.0,0.0,4,54,549,89.3,c0ca3530
cuarto_despejado,13.1,66.3,5,152,1457,72.6,3200c7a3
cuarto_despejado,27.9,140.6,7,284,2432,53.8,1844fb61
cuarto_despejado,35.2,211.5,9,379,2757,47.4,cbe119c5
cuarto_despejado,42.6,276.4,10,406,2822,45.9,7a03b247
cuarto_despejado,57.3,347.3,11,405,2885,44.8,2477697f
cuarto_despejado,78.2,415.5,11,405,2885,44.8,2477697f
cuarto_despejado,91.0,458.3,13,440,2902,44.7,4885bc6f
cuarto_despejado,103.1,532.1,14,461,2915,44.2,0273a2ed
cuarto_despejado,110.4,604.0,16,497,2939,43.2,9c290dc4
cuarto_despejado,116.6,650.1,17,506,2949,42.9,4ac08b4c
cuarto_despejado,131.2,722.8,18,513,2952,42.7,ca78597c
cuarto_despejado,138.5,788.1,19,521,2967,43.1,92e0d721
cuarto_despejado,154.8,863.1,21,546,2998,42.9,5a9cec3b
cuarto_despejado,159.5,885.6,22,550,3009,42.6,2605a82a
cuarto_despejado,172.7,960.7,23,559,3013,42.4,9711a5c2
cuarto_despejado,180.1,1032.4,25,578,3011,42.2,1c6f03a2
cuarto_despejado,185.4,1065.0,25,578,3011,42.2,1c6f03a2
cuarto_despejado,201.1,1122.2,26,587,3017,41.9,9ed04458
cuarto_despejado,211.7,1177.2,27,583,3026,41.8,77f17978
cuarto_despejado,224.8,1249.7,29,605,3025,41.5,3453cd4b
cuarto_despejado,232.3,1315.2,30,606,3029,41.4,949df0f8
cuarto_despejado,241.9,1346.4,30,606,3029,41.4,949df0f8
